prix_terasse,geoloc,address,name,date,zipcode,geometry,recordid,prix_salle,prix_comptoir,city,country
-,"[48.854584, 2.385193]",184 bd Voltaire,L'ingénu,2012-06-27,75011,"{'coordinates': [2.385193, 48.854584], 'type': 'Point'}",7fcef7475ec632d5c61c9c36c1d52a402ad2e9e8,-,1,Paris,France
-,"[48.890605, 2.361349]",8 rue L'Olive,L'Olive,2012-06-27,75018,"{'coordinates': [2.361349, 48.890605], 'type': 'Point'}",35286273f281c8c5082b3d3bd17f6bbf207426f9,-,1,Paris,France
-,"[48.871396, 2.338321]",18 rue Favart,Le Biz,2012-06-27,75002,"{'coordinates': [2.338321, 48.871396], 'type': 'Point'}",cf2f6b9e283aaeeca2214cc1fe57b45e45668e25,-,1,Paris,France
-,"[48.868109, 2.331785]",1 rue Louis le Grand,Le Cap Bourbon,2012-06-27,75002,"{'coordinates': [2.331785, 48.868109], 'type': 'Point'}",339030e95e0846b41a8e2b91045456c4e4a50043,-,1,Paris,France
-,"[48.84167, 2.303053]",9 Place du General Beuret,Le General Beuret,2012-06-27,75015,"{'coordinates': [2.303053, 48.84167], 'type': 'Point'}",12b37036d28d28b32ebe81756ad15eb68372947f,-,1,Paris,France
-,"[48.846814, 2.289311]",95 avenue Emile Zola,Le Germinal,2012-06-27,75015,"{'coordinates': [2.289311, 48.846814], 'type': 'Point'}",4e03831a64e886a28a7232e54f2812c1ced23c5a,-,1,Paris,France
-,"[48.862655, 2.337607]",202 rue Saint-Honoré,Le Ragueneau,2012-06-27,75001,"{'coordinates': [2.337607, 48.862655], 'type': 'Point'}",e303131b2600d4c2287749a36bf7193d2fa60bd7,-,1,Paris,France
-,"[48.889982, 2.338933]",72 rue lamarck,Le refuge,2012-06-27,75018,"{'coordinates': [2.338933, 48.889982], 'type': 'Point'}",f64310461736a769c6854fdefb99b9f2e7b230a9,-,1,Paris,France
-,"[48.870294, 2.352821]",13 rue du Faubourg Saint Denis,Le sully,2012-06-27,75010,"{'coordinates': [2.352821, 48.870294], 'type': 'Point'}",166be8588ff16e50838fa6a164d1e580497b795d,-,1,Paris,France
-,"[48.842128, 2.280374]",60 rue des bergers,Le bal du pirate,2014-02-01,75015,"{'coordinates': [2.280374, 48.842128], 'type': 'Point'}",93ff6e35406a074a6ba2667d2b286abf91132f6a,-,1,Paris,France
-,"[48.838769, 2.39609]",95 rue claude decaen,zic zinc,2014-02-01,75012,"{'coordinates': [2.39609, 48.838769], 'type': 'Point'}",8fdc739d64ff1f01973235301e3ec86791016759,-,1,Paris,France
-,"[48.870247, 2.376306]",35 rue de l'orillon,l'orillon bar,2014-02-01,75011,"{'coordinates': [2.376306, 48.870247], 'type': 'Point'}",6e6e9695ef04c3fdbd4cfa19f0cfb0c0f93f4933,-,1,Paris,France
-,"[48.869848, 2.394247]",116 Rue de Ménilmontant,Le Zazabar,2013-08-22,75020,"{'coordinates': [2.394247, 48.869848], 'type': 'Point'}",22edfe92a72ce1bb0eea972508b5caa7af2db2df,-,1,Paris,France
-,"[48.845458, 2.354796]",22 rue Linné,L'Inévitable,2013-08-22,75005,"{'coordinates': [2.354796, 48.845458], 'type': 'Point'}",6893cb08e99319091de9ba80305f22e0ce4cc08d,-,1,Paris,France
